city,state_id,state_name
New York,NY,New York
Los Angeles,CA,California
Chicago,IL,Illinois
Miami,FL,Florida
Dallas,TX,Texas
Houston,TX,Texas
Philadelphia,PA,Pennsylvania
Atlanta,GA,Georgia
Washington,DC,District of Columbia
Boston,MA,Massachusetts
Phoenix,AZ,Arizona
Detroit,MI,Michigan
Seattle,WA,Washington
San Francisco,CA,California
San Diego,CA,California
Minneapolis,MN,Minnesota
Brooklyn,NY,New York
Tampa,FL,Florida
Denver,CO,Colorado
Queens,NY,New York
Baltimore,MD,Maryland
Las Vegas,NV,Nevada
St. Louis,MO,Missouri
Portland,OR,Oregon
Riverside,CA,California
Orlando,FL,Florida
Sacramento,CA,California
San Juan,PR,Puerto Rico
San Antonio,TX,Texas
San Jose,CA,California
Pittsburgh,PA,Pennsylvania
Cincinnati,OH,Ohio
Manhattan,NY,New York
Cleveland,OH,Ohio
Indianapolis,IN,Indiana
Austin,TX,Texas
Kansas City,MO,Missouri
Columbus,OH,Ohio
Charlotte,NC,North Carolina
Virginia Beach,VA,Virginia
Bronx,NY,New York
Milwaukee,WI,Wisconsin
Providence,RI,Rhode Island
Jacksonville,FL,Florida
Salt Lake City,UT,Utah
Nashville,TN,Tennessee
Raleigh,NC,North Carolina
Memphis,TN,Tennessee
Louisville,KY,Kentucky
Richmond,VA,Virginia
Buffalo,NY,New York
Oklahoma City,OK,Oklahoma
Bridgeport,CT,Connecticut
New Orleans,LA,Louisiana
Fort Worth,TX,Texas
Hartford,CT,Connecticut
Tucson,AZ,Arizona
Honolulu,HI,Hawaii
McAllen,TX,Texas
Omaha,NE,Nebraska
El Paso,TX,Texas
Albuquerque,NM,New Mexico
Rochester,NY,New York
Sarasota,FL,Florida
Fresno,CA,California
Tulsa,OK,Oklahoma
Allentown,PA,Pennsylvania
Dayton,OH,Ohio
Birmingham,AL,Alabama
Charleston,SC,South Carolina
Cape Coral,FL,Florida
Columbia,SC,South Carolina
Concord,CA,California
Colorado Springs,CO,Colorado
Springfield,MA,Massachusetts
Knoxville,TN,Tennessee
Baton Rouge,LA,Louisiana
Ogden,UT,Utah
Grand Rapids,MI,Michigan
Albany,NY,New York
Bakersfield,CA,California
Mission Viejo,CA,California
New Haven,CT,Connecticut
Worcester,MA,Massachusetts
Provo,UT,Utah
Akron,OH,Ohio
Palm Bay,FL,Florida
Des Moines,IA,Iowa
Murrieta,CA,California
Mesa,AZ,Arizona
Staten Island,NY,New York
Wichita,KS,Kansas
Toledo,OH,Ohio
Harrisburg,PA,Pennsylvania
Port St. Lucie,FL,Florida
Long Beach,CA,California
Reno,NV,Nevada
Madison,WI,Wisconsin
Little Rock,AR,Arkansas
Greenville,SC,South Carolina
Denton,TX,Texas
Spokane,WA,Washington
Oakland,CA,California
Lancaster,PA,Pennsylvania
Poughkeepsie,NY,New York
Boise,ID,Idaho
Winston-Salem,NC,North Carolina
Syracuse,NY,New York
Augusta,GA,Georgia
Stockton,CA,California
Palm Coast,FL,Florida
Chattanooga,TN,Tennessee
Kissimmee,FL,Florida
Durham,NC,North Carolina
Arlington,TX,Texas
Victorville,CA,California
Aurora,CO,Colorado
Modesto,CA,California
Lancaster,CA,California
Fayetteville,AR,Arkansas
Scranton,PA,Pennsylvania
Oxnard,CA,California
Youngstown,OH,Ohio
Indio,CA,California
Pensacola,FL,Florida
Anaheim,CA,California
Bonita Springs,FL,Florida
Greensboro,NC,North Carolina
Huntsville,AL,Alabama
Corpus Christi,TX,Texas
Fort Wayne,IN,Indiana
Fayetteville,NC,North Carolina
Ann Arbor,MI,Michigan
Jackson,MS,Mississippi
Antioch,CA,California
Mobile,AL,Alabama
Lexington,KY,Kentucky
Asheville,NC,North Carolina
Trenton,NJ,New Jersey
Santa Rosa,CA,California
Santa Ana,CA,California
Lansing,MI,Michigan
Henderson,NV,Nevada
St. Paul,MN,Minnesota
Lakeland,FL,Florida
Newark,NJ,New Jersey
Fort Collins,CO,Colorado
Reading,PA,Pennsylvania
Springfield,MO,Missouri
Irvine,CA,California
Anchorage,AK,Alaska
The Woodlands,TX,Texas
South Bend,IN,Indiana
Rockford,IL,Illinois
Savannah,GA,Georgia
Lincoln,NE,Nebraska
Jersey City,NJ,New Jersey
Round Lake Beach,IL,Illinois
Flint,MI,Michigan
Shreveport,LA,Louisiana
Plano,TX,Texas
Myrtle Beach,SC,South Carolina
Davenport,IA,Iowa
Canton,OH,Ohio
Santa Clarita,CA,California
Chula Vista,CA,California
Eugene,OR,Oregon
Chandler,AZ,Arizona
Salem,OR,Oregon
Concord,NC,North Carolina
Gilbert,AZ,Arizona
Columbus,GA,Georgia
Aguadilla,PR,Puerto Rico
Lubbock,TX,Texas
North Las Vegas,NV,Nevada
St. Petersburg,FL,Florida
Tallahassee,FL,Florida
Laredo,TX,Texas
Peoria,IL,Illinois
Avondale,AZ,Arizona
Lafayette,LA,Louisiana
Irving,TX,Texas
Montgomery,AL,Alabama
Visalia,CA,California
McKinney,TX,Texas
Wilmington,NC,North Carolina
Chesapeake,VA,Virginia
Glendale,AZ,Arizona
Garland,TX,Texas
Kennewick,WA,Washington
Winter Haven,FL,Florida
Scottsdale,AZ,Arizona
Norfolk,VA,Virginia
Killeen,TX,Texas
York,PA,Pennsylvania
Atlantic City,NJ,New Jersey
Nashua,NH,New Hampshire
Arlington,VA,Virginia
Brownsville,TX,Texas
Fremont,CA,California
Gulfport,MS,Mississippi
Evansville,IN,Indiana
Hialeah,FL,Florida
Navarre,FL,Florida
Bel Air South,MD,Maryland
North Port,FL,Florida
San Bernardino,CA,California
Portland,ME,Maine
Enterprise,NV,Nevada
Bremerton,WA,Washington
Green Bay,WI,Wisconsin
Appleton,WI,Wisconsin
Spring Valley,NV,Nevada
Tacoma,WA,Washington
Spartanburg,SC,South Carolina
Roanoke,VA,Virginia
Gainesville,FL,Florida
Deltona,FL,Florida
Kalamazoo,MI,Michigan
Thousand Oaks,CA,California
Hickory,NC,North Carolina
Yonkers,NY,New York
Moreno Valley,CA,California
Fontana,CA,California
College Station,TX,Texas
Fargo,ND,North Dakota
Amarillo,TX,Texas
Norwich,CT,Connecticut
Olympia,WA,Washington
Waterbury,CT,Connecticut
Salinas,CA,California
Huntington,WV,West Virginia
Huntington Beach,CA,California
Clarksville,TN,Tennessee
Santa Barbara,CA,California
Glendale,CA,California
Sunrise Manor,NV,Nevada
Grand Prairie,TX,Texas
Overland Park,KS,Kansas
Hagerstown,MD,Maryland
Nampa,ID,Idaho
Gastonia,NC,North Carolina
Frisco,TX,Texas
Cedar Rapids,IA,Iowa
Hemet,CA,California
Paradise,NV,Nevada
Sioux Falls,SD,South Dakota
Vancouver,WA,Washington
Peoria,AZ,Arizona
