State,industry_group,industry_count
AL,"Business and Information Technology",1
AL,"Food and Beverage",1
AL,"Transportation and Logistics",1
AR,"Advertising and Marketing",1
AR,"Construction and Real Estate",1
AZ,"Advertising and Marketing",3
AZ,"Business and Information Technology",1
AZ,"Education and Training",1
AZ,"Financial Services",1
AZ,"Human Resources and Staffing",2
AZ,Others,2
AZ,"Transportation and Logistics",1
CA,"Advertising and Marketing",86
CA,"Business and Information Technology",3
CA,"Construction and Real Estate",4
CA,"Education and Training",3
CA,"Entertainment and Recreation",3
CA,"Environmental and Energy",7
CA,"Financial Services",2
CA,"Food and Beverage",1
CA,"Government and Public Services",1
CA,"Health and Medical",6
CA,"Home Care and Family Services",1
CA,"Human Resources and Staffing",33
CA,"Legal and Law",1
CA,Manufacturing,4
CA,"Non-profit and Social Services",1
CA,Others,1
CA,"Retail and Wholesale",4
CA,"Technology and Telecommunications",4
CA,"Travel and Tourism",3
CO,"Advertising and Marketing",2
CO,"Business and Information Technology",1
CO,"Construction and Real Estate",1
CO,"Environmental and Energy",4
CO,"Human Resources and Staffing",6
CO,"Non-profit and Social Services",1
CO,Others,1
CO,"Retail and Wholesale",1
CO,"Technology and Telecommunications",1
CO,"Travel and Tourism",1
CT,"Human Resources and Staffing",1
CT,Manufacturing,1
DC,"Business and Information Technology",1
DC,"Government and Public Services",3
DC,"Health and Medical",1
DC,"Human Resources and Staffing",4
DC,"Non-profit and Social Services",2
DC,"Retail and Wholesale",1
DC,"Technology and Telecommunications",1
DC,"Travel and Tourism",1
DE,"Advertising and Marketing",1
FL,"Advertising and Marketing",18
FL,"Automotive and Transportation",1
FL,"Business and Information Technology",1
FL,"Construction and Real Estate",9
FL,"Defense and Aerospace",1
FL,"Education and Training",3
FL,"Entertainment and Recreation",4
FL,"Environmental and Energy",4
FL,"Facilities and Maintenance",1
FL,"Financial Services",2
FL,"Food and Beverage",1
FL,"Government and Public Services",2
FL,"Health and Medical",4
FL,"Human Resources and Staffing",12
FL,"Legal and Law",1
FL,Manufacturing,1
FL,"Non-profit and Social Services",1
FL,Others,1
FL,"Retail and Wholesale",1
FL,"Technology and Telecommunications",1
FL,"Transportation and Logistics",1
FL,"Travel and Tourism",7
GA,"Advertising and Marketing",11
GA,"Business and Information Technology",1
