industry_group,skill_name,skill_group,skill_count
"Advertising and Marketing","Account Coordination",Sales,1
"Human Resources and Staffing","Account Coordination",Sales,1
"Advertising and Marketing","Account Management",Sales,4
"Business and Information Technology","Account Management",Sales,1
"Entertainment and Recreation","Account Management",Sales,1
"Human Resources and Staffing","Account Management",Sales,2
"Advertising and Marketing","Account Marketing",Sales,1
"Human Resources and Staffing","Account Planning",Sales,1
"Human Resources and Staffing","Accounting Standards",Other,1
Others,Acknowledgements,Other,1
Manufacturing,Activations,Other,1
"Advertising and Marketing","Active Listening",Communication,2
"Health and Medical","Acute Care",Other,1
"Advertising and Marketing","Ad Serving","Social Media/Digital",1
"Business and Information Technology","Ad Serving","Social Media/Digital",1
"Entertainment and Recreation","Ad Serving","Social Media/Digital",1
"Health and Medical","Ad Serving","Social Media/Digital",1
"Human Resources and Staffing","Ad Serving","Social Media/Digital",4
"Business and Information Technology","Ad Tech","Social Media/Digital",1
"Government and Public Services",Adjudication,Other,1
"Advertising and Marketing",Administration,Strategy/Planning/Management,2
"Construction and Real Estate",Administration,Strategy/Planning/Management,3
"Education and Training",Administration,Strategy/Planning/Management,1
"Financial Services",Administration,Strategy/Planning/Management,1
"Health and Medical",Administration,Strategy/Planning/Management,3
"Human Resources and Staffing",Administration,Strategy/Planning/Management,2
"Travel and Tourism",Administration,Strategy/Planning/Management,1
"Advertising and Marketing","Administrative Assistance",Other,4
"Construction and Real Estate","Administrative Assistance",Other,3
"Financial Services","Administrative Assistance",Other,1
"Human Resources and Staffing","Administrative Assistance",Other,2
"Travel and Tourism","Administrative Assistance",Other,1
"Construction and Real Estate","Adobe Acrobat","Graphic Design/Visual",2
"Health and Medical","Adobe Creative Cloud","Graphic Design/Visual",1
"Human Resources and Staffing","Adobe Creative Cloud","Graphic Design/Visual",1
"Advertising and Marketing","Adobe Creative Suite","Graphic Design/Visual",1
"Construction and Real Estate","Adobe Creative Suite","Graphic Design/Visual",2
"Education and Training","Adobe Creative Suite","Graphic Design/Visual",1
"Entertainment and Recreation","Adobe Creative Suite","Graphic Design/Visual",2
"Human Resources and Staffing","Adobe Creative Suite","Graphic Design/Visual",3
"Construction and Real Estate","Adobe Illustrator","Graphic Design/Visual",2
"Entertainment and Recreation","Adobe Illustrator","Graphic Design/Visual",1
"Construction and Real Estate","Adobe InDesign","Graphic Design/Visual",3
"Entertainment and Recreation","Adobe InDesign","Graphic Design/Visual",1
"Construction and Real Estate","Adobe Photoshop","Graphic Design/Visual",1
"Entertainment and Recreation","Adobe Photoshop","Graphic Design/Visual",1
"Non-profit and Social Services","ADP E-Time",Quantitative/Analytics,1
"Advertising and Marketing",Advertising,Other,11
"Business and Information Technology",Advertising,Other,1
"Construction and Real Estate",Advertising,Other,1
"Education and Training",Advertising,Other,1
"Human Resources and Staffing",Advertising,Other,4
Manufacturing,Advertising,Other,1
"Non-profit and Social Services",Advertising,Other,1
Others,Advertising,Other,1
"Travel and Tourism",Advertising,Other,1
"Advertising and Marketing","Advertising Campaigns",Strategy/Planning/Management,2
"Business and Information Technology","Advertising Campaigns",Strategy/Planning/Management,1
"Entertainment and Recreation","After Effects",Other,1
"Human Resources and Staffing","Agile Methodologies",Other,1
"Education and Training","Alumni Relations",Communication,2
"Health and Medical","Americans with Disabilities Act",Other,1
"Advertising and Marketing","Analytical Skills",Quantitative/Analytics,2
"Architecture and Design","Analytical Skills",Quantitative/Analytics,1
"Education and Training","Analytical Skills",Quantitative/Analytics,1
"Human Resources and Staffing","Analytical Skills",Quantitative/Analytics,3
Manufacturing,"Analytical Skills",Quantitative/Analytics,1
"Travel and Tourism","Analytical Skills",Quantitative/Analytics,1
"Advertising and Marketing",Analytics,Quantitative/Analytics,3
"Business and Information Technology",Analytics,Quantitative/Analytics,1
"Construction and Real Estate",Analytics,Quantitative/Analytics,1
