title_elem,skill_group,skill_count
A,Brand,17
A,Communication,62
A,Content/Writing,31
A,"Graphic Design/Visual",36
A,"Market Research",15
A,Other,282
A,Quantitative/Analytics,49
A,Sales,75
A,"Social Media/Digital",31
A,Strategy/Planning/Management,127
A,Technology,20
Account,Brand,3
Account,Communication,7
Account,Content/Writing,1
Account,"Graphic Design/Visual",1
Account,"Market Research",1
Account,Other,7
Account,Sales,12
Account,"Social Media/Digital",3
Account,Strategy/Planning/Management,8
Acquisition,Communication,5
Acquisition,Content/Writing,2
Acquisition,"Graphic Design/Visual",2
Acquisition,Other,2
Acquisition,Sales,1
Acquisition,"Social Media/Digital",1
Acquisition,Strategy/Planning/Management,9
Acquisition,Technology,1
Admin,Communication,8
Admin,Content/Writing,1
Admin,"Graphic Design/Visual",1
Admin,Other,14
Admin,Quantitative/Analytics,3
Admin,Sales,2
Admin,Strategy/Planning/Management,8
Admin,Technology,1
Administrative,Communication,8
Administrative,Content/Writing,1
Administrative,"Graphic Design/Visual",1
Administrative,Other,14
Administrative,Quantitative/Analytics,3
Administrative,Sales,2
Administrative,Strategy/Planning/Management,8
Administrative,Technology,1
Admission,Communication,2
Admission,"Graphic Design/Visual",1
Admission,Other,2
Admission,"Social Media/Digital",3
Admission,Strategy/Planning/Management,2
Agent,Communication,4
Agent,Other,5
Agent,Quantitative/Analytics,1
Agent,Sales,3
Agent,Strategy/Planning/Management,2
Agricultural,Communication,2
Agricultural,Other,7
Agricultural,Strategy/Planning/Management,2
Amazing,Communication,1
Amazing,Content/Writing,1
Amazing,"Graphic Design/Visual",1
Amazing,"Market Research",1
Amazing,Other,1
Amazing,Quantitative/Analytics,2
Amazing,Strategy/Planning/Management,7
Ambassador,Brand,4
Ambassador,Communication,6
Ambassador,Other,2
Ambassador,Sales,4
Ambassador,"Social Media/Digital",1
Ambassador,Strategy/Planning/Management,7
American,Communication,1
American,Other,8
American,Sales,2
American,Strategy/Planning/Management,1
Analyst,Communication,1
Analyst,Other,3
Analyst,Quantitative/Analytics,11
Analyst,Strategy/Planning/Management,4
Analyst,Technology,1
And,Brand,8
And,Communication,29
And,Content/Writing,12
And,"Graphic Design/Visual",12
And,"Market Research",4
And,Other,53
And,Quantitative/Analytics,14
And,Sales,28
And,"Social Media/Digital",12
And,Strategy/Planning/Management,31
And,Technology,3
AP,Communication,2
AP,Content/Writing,2
AP,"Graphic Design/Visual",11
AP,"Market Research",1
AP,Other,11
AP,Quantitative/Analytics,2
AP,Strategy/Planning/Management,7
Apparel,Communication,1
Apparel,Other,4
Apparel,Quantitative/Analytics,2
Apparel,Strategy/Planning/Management,4
AR,Brand,14
AR,Communication,49
AR,Content/Writing,30
AR,"Graphic Design/Visual",31
AR,"Market Research",13
AR,Other,179
AR,Quantitative/Analytics,35
AR,Sales,58
AR,"Social Media/Digital",26
AR,Strategy/Planning/Management,95
AR,Technology,13
Are,Communication,2
Are,Other,8
Are,Quantitative/Analytics,2
Are,Sales,1
Are,Strategy/Planning/Management,6
Assistant,Brand,9
Assistant,Communication,30
Assistant,Content/Writing,12
Assistant,"Graphic Design/Visual",10
Assistant,"Market Research",6
Assistant,Other,85
Assistant,Quantitative/Analytics,15
Assistant,Sales,32
Assistant,"Social Media/Digital",9
Assistant,Strategy/Planning/Management,42
Assistant,Technology,4
Associate,Brand,4
Associate,Communication,15
Associate,Content/Writing,8
Associate,"Graphic Design/Visual",3
Associate,"Market Research",2
Associate,Other,35
Associate,Quantitative/Analytics,9
Associate,Sales,23
Associate,"Social Media/Digital",7
Associate,Strategy/Planning/Management,23
Associate,Technology,5
Asst,Communication,2
Asst,Content/Writing,1
Asst,Other,4
Asst,Quantitative/Analytics,1
Asst,Sales,1
Asst,Strategy/Planning/Management,1
at,Brand,10
at,Communication,50
at,Content/Writing,22
at,"Graphic Design/Visual",23
at,"Market Research",6
at,Other,180
at,Quantitative/Analytics,32
at,Sales,57
at,"Social Media/Digital",22
at,Strategy/Planning/Management,75
at,Technology,11
Athletic,Communication,2
Athletic,Content/Writing,1
Athletic,Other,4
Athletic,Quantitative/Analytics,1
Athletic,Sales,1
Athletic,Strategy/Planning/Management,1
Attendant,Communication,1
Automation,Strategy/Planning/Management,4
Automation,Technology,1
Basketball,Communication,2
Basketball,Other,7
Basketball,Sales,1
Beauty,"Graphic Design/Visual",8
Beauty,Other,3
Bonus!,Communication,1
Bonus!,"Graphic Design/Visual",5
Bonus!,Other,2
Bonus!,Strategy/Planning/Management,1
Booking,Communication,1
Booking,Other,4
Brand,Brand,7
Brand,Communication,15
Brand,Content/Writing,1
Brand,"Graphic Design/Visual",2
Brand,"Market Research",2
Brand,Other,16
Brand,Quantitative/Analytics,5
Brand,Sales,19
Brand,"Social Media/Digital",3
Brand,Strategy/Planning/Management,15
Brokerage,Communication,3
Brokerage,Content/Writing,1
Brokerage,Other,1
Brokerage,Quantitative/Analytics,2
Brokerage,Sales,1
Brokerage,Strategy/Planning/Management,2
Business,Brand,1
Business,Communication,12
Business,"Graphic Design/Visual",1
Business,"Market Research",1
Business,Other,11
Business,Quantitative/Analytics,10
Business,Sales,13
Business,"Social Media/Digital",3
Business,Strategy/Planning/Management,20
Business,Technology,1
Buyer,Communication,1
Buyer,Other,4
Buyer,Quantitative/Analytics,2
