State,skill_group,sum(skill_count)
AL,Brand,1
CA,Brand,17
CO,Brand,2
DC,Brand,1
FL,Brand,5
GA,Brand,2
IN,Brand,1
MI,Brand,2
NJ,Brand,2
NY,Brand,3
OH,Brand,1
PA,Brand,4
TX,Brand,4
UT,Brand,2
VA,Brand,17
WA,Brand,4
WI,Brand,1
AL,Communication,1
AZ,Communication,2
CA,Communication,76
CO,Communication,5
DC,Communication,4
DE,Communication,4
FL,Communication,41
GA,Communication,18
HI,Communication,3
IA,Communication,1
IL,Communication,10
LA,Communication,6
MA,Communication,5
MD,Communication,8
ME,Communication,1
MI,Communication,9
MN,Communication,6
MO,Communication,2
NC,Communication,8
NH,Communication,1
NJ,Communication,9
NV,Communication,3
NY,Communication,15
OH,Communication,3
OR,Communication,2
PA,Communication,9
Remote,Communication,9
RI,Communication,1
SC,Communication,5
TN,Communication,28
TX,Communication,29
UT,Communication,6
VA,Communication,50
WA,Communication,15
WI,Communication,9
CA,Content/Writing,28
CO,Content/Writing,10
FL,Content/Writing,9
GA,Content/Writing,4
IL,Content/Writing,12
IN,Content/Writing,5
LA,Content/Writing,1
MD,Content/Writing,6
MN,Content/Writing,6
MO,Content/Writing,5
NC,Content/Writing,6
NJ,Content/Writing,6
NV,Content/Writing,2
NY,Content/Writing,6
OH,Content/Writing,9
Remote,Content/Writing,1
TN,Content/Writing,9
TX,Content/Writing,10
UT,Content/Writing,7
WA,Content/Writing,3
WI,Content/Writing,2
AL,"Graphic Design/Visual",1
CA,"Graphic Design/Visual",30
CO,"Graphic Design/Visual",2
FL,"Graphic Design/Visual",12
GA,"Graphic Design/Visual",9
IL,"Graphic Design/Visual",14
IN,"Graphic Design/Visual",3
KY,"Graphic Design/Visual",1
MD,"Graphic Design/Visual",6
MI,"Graphic Design/Visual",2
MN,"Graphic Design/Visual",2
MO,"Graphic Design/Visual",2
NC,"Graphic Design/Visual",4
NJ,"Graphic Design/Visual",3
NY,"Graphic Design/Visual",11
OH,"Graphic Design/Visual",2
OK,"Graphic Design/Visual",5
PA,"Graphic Design/Visual",1
RI,"Graphic Design/Visual",1
SC,"Graphic Design/Visual",1
TN,"Graphic Design/Visual",7
TX,"Graphic Design/Visual",11
UT,"Graphic Design/Visual",5
VA,"Graphic Design/Visual",10
WA,"Graphic Design/Visual",1
WI,"Graphic Design/Visual",1
CA,"Market Research",13
DC,"Market Research",1
FL,"Market Research",2
GA,"Market Research",7
HI,"Market Research",1
IA,"Market Research",1
MD,"Market Research",1
ME,"Market Research",1
MI,"Market Research",1
MN,"Market Research",3
NC,"Market Research",1
NH,"Market Research",1
NJ,"Market Research",1
NY,"Market Research",6
OH,"Market Research",3
PA,"Market Research",3
Remote,"Market Research",1
TN,"Market Research",1
TX,"Market Research",3
VA,"Market Research",9
WA,"Market Research",2
WI,"Market Research",2
AL,Other,3
AZ,Other,2
CA,Other,83
CO,Other,7
DC,Other,12
DE,Other,3
FL,Other,56
GA,Other,13
HI,Other,1
IA,Other,4
IL,Other,10
IN,Other,4
KY,Other,3
LA,Other,5
MA,Other,14
MD,Other,16
ME,Other,4
MI,Other,20
MN,Other,5
MO,Other,4
NC,Other,8
NH,Other,4
NJ,Other,6
NV,Other,4
NY,Other,41
OH,Other,3
OK,Other,3
OR,Other,3
PA,Other,11
Remote,Other,11
RI,Other,1
SC,Other,7
TN,Other,32
TX,Other,42
UT,Other,5
VA,Other,33
WA,Other,15
WI,Other,4
CA,Quantitative/Analytics,24
CO,Quantitative/Analytics,2
DC,Quantitative/Analytics,2
FL,Quantitative/Analytics,13
GA,Quantitative/Analytics,11
IA,Quantitative/Analytics,2
IL,Quantitative/Analytics,7
IN,Quantitative/Analytics,2
KY,Quantitative/Analytics,2
LA,Quantitative/Analytics,1
MD,Quantitative/Analytics,1
ME,Quantitative/Analytics,2
MN,Quantitative/Analytics,2
NC,Quantitative/Analytics,3
NH,Quantitative/Analytics,2
NJ,Quantitative/Analytics,6
NV,Quantitative/Analytics,2
NY,Quantitative/Analytics,17
OH,Quantitative/Analytics,2
Remote,Quantitative/Analytics,2
TN,Quantitative/Analytics,4
TX,Quantitative/Analytics,13
UT,Quantitative/Analytics,1
VA,Quantitative/Analytics,13
WA,Quantitative/Analytics,4
AZ,Sales,1
CA,Sales,93
CO,Sales,2
DC,Sales,1
DE,Sales,1
FL,Sales,21
GA,Sales,28
IL,Sales,5
LA,Sales,4
MA,Sales,3
MD,Sales,6
MI,Sales,12
MN,Sales,2
MO,Sales,2
NC,Sales,2
NJ,Sales,4
NV,Sales,1
NY,Sales,15
OH,Sales,5
OR,Sales,6
PA,Sales,7
SC,Sales,2
TN,Sales,9
TX,Sales,38
UT,Sales,2
VA,Sales,21
WA,Sales,16
WI,Sales,3
CA,"Social Media/Digital",39
CO,"Social Media/Digital",5
FL,"Social Media/Digital",32
GA,"Social Media/Digital",6
HI,"Social Media/Digital",3
IL,"Social Media/Digital",7
IN,"Social Media/Digital",2
KY,"Social Media/Digital",2
MA,"Social Media/Digital",1
