id,salary_type,min_salary,max_salary
2381438137,yr,65000.00,85000.00
3628041803,yr,55000.00,75000.00
3651743005,hr,16.00,19.00
3651750943,yr,42500.00,52500.00
3655637135,hr,15.00,15.00
3655650569,yr,34000.00,44000.00
3655659111,yr,41600.00,52600.00
3655668597,yr,81000.00,103000.00
3656332180,hr,17.13,17.13
3657024719,yr,40000.00,50000.00
3657034636,hr,14.00,24.00
3657039003,yr,41600.00,46800.00
3657040473,yr,42000.00,52000.00
3657047916,yr,65000.00,75000.00
3657066516,hr,23.00,23.00
3657077025,hr,23.68,25.00
3657082933,hr,16.70,16.70
3657088177,yr,40000.00,50000.00
3658002248,hr,24.00,28.00
3658920815,yr,40000.00,50000.00
3658929169,yr,42500.00,48500.00
3659297595,hr,17.24,27.59
3659319911,hr,60.00,65.90
3659375136,yr,55000.00,55000.00
3659943263,yr,59758.00,95613.00
3660072564,yr,48000.00,52000.00
3660406370,yr,50000.00,52000.00
3660414676,yr,50000.00,60000.00
3660418155,yr,50000.00,60000.00
3660496667,hr,90.00,90.00
3660504849,yr,34000.00,55000.00
3660584084,yr,55000.00,65000.00
3660611028,hr,30.00,40.00
3660765145,yr,25000.00,35000.00
3660767409,yr,46000.00,46000.00
3660899155,yr,36000.00,48500.00
3660910756,yr,70000.00,77000.00
3660913729,yr,50000.00,60000.00
3661152283,hr,21.15,24.08
3661152720,hr,32.00,33.00
3661264507,month,3220.00,4282.00
3661276003,yr,70900.00,89800.00
3661283295,yr,70000.00,80000.00
3661306045,hr,32.50,38.00
3661311369,yr,45600.00,50000.00
3661316596,yr,65000.00,75000.00
3661324263,hr,21.15,24.08
3661436464,yr,55000.00,70000.00
3661440151,yr,55000.00,70000.00
3661458046,yr,34600.00,54300.00
3661630320,yr,150000.00,150000.00
3661711329,yr,35000.00,55000.00
3661738413,yr,60000.00,65000.00
3661752006,yr,32000.00,45000.00
3661826583,hr,19.50,23.15
3661849277,yr,38000.00,45000.00
3661899474,hr,20.00,23.00
3661938679,yr,90000.00,100000.00
3662000050,hr,36.00,36.00
3662005595,yr,60000.00,70000.00
3662011697,yr,55000.00,90000.00
3662255514,hr,25.60,37.50
3662257554,yr,95000.00,95000.00
3662369514,yr,60000.00,75000.00
3662372300,yr,90000.00,115000.00
3662405183,hr,30.00,32.00
3662427754,yr,63035.00,87060.00
3663284843,yr,65000.00,75000.00
3663298887,yr,68500.00,78000.00
3663512802,hr,20.00,20.00
3663544317,hr,25.00,32.00
3663547366,yr,70000.00,95000.00
3664090188,yr,27000.00,55000.00
3664090256,hr,20.00,25.00
3664619130,yr,125000.00,135000.00
3664619278,yr,90000.00,110000.00
3664631473,yr,69000.00,94000.00
3664646124,yr,36000.00,48000.00
3664656953,yr,42500.00,48500.00
3664664519,hr,19.00,19.00
3664678253,yr,40000.00,50000.00
3664690011,yr,40000.00,50000.00
3664690128,yr,36000.00,36000.00
3664694777,yr,50000.00,55000.00
3664696339,yr,55000.00,65000.00
3664699458,yr,40000.00,45000.00
3664901080,yr,36400.00,46800.00
3664904397,yr,40000.00,50000.00
3664904912,hr,16.90,16.90
3664906955,hr,30.00,30.00
3664907066,hr,18.00,22.00
3664911706,yr,50000.00,65000.00
3664918105,hr,15.00,15.00
3664921067,yr,55000.00,55000.00
3664921335,hr,18.15,40.85
3666528270,hr,32.33,52.19
3666530214,hr,32.33,52.19
3666532140,yr,60000.00,80000.00
3666575019,yr,51600.00,75300.00
3666704997,hr,20.00,20.00
3666709885,yr,46000.00,48000.00
3666711884,hr,20.00,22.50
3666713547,hr,20.00,25.00
3666725860,hr,20.00,20.00
3666726513,yr,38000.00,48000.00
3666727028,yr,51281.00,59614.00
3666729880,yr,59500.00,73000.00
3666730467,yr,75000.00,95000.00
3666730900,yr,65000.00,72000.00
3666735715,yr,39300.00,80700.00
3666738277,yr,46600.00,52000.00
3666772325,yr,32500.00,47800.00
3666786847,yr,115000.00,145000.00
3666791020,yr,70000.00,90000.00
3666792221,yr,140000.00,175000.00
3667301494,hr,25.50,35.00
3667320783,yr,120000.00,130000.00
3667328955,hr,55.00,55.00
3668159559,hr,20.50,26.58
