Title,Company,Location,Apply,Job Description,Date,Company Link
Marketing Communications Coordinator,"JCDecaux North America, Inc.","New York, NY",https://www.linkedin.com/jobs/view/marketing-communications-coordinator-at-jcdecaux-north-america-inc-3642998161?refId=c%2BH5V24TuRcfeVy8KXX5Ig%3D%3D&trackingId=YVmSdFnDdB4WRChNgpTBxg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"About JCDecauxJCDecaux is the #1 outdoor advertising company in the world, we are dedicated to giving brands unique voices and providing messaging platforms through the highest quality out-of-home solutions and first-class services.Joining JCDecaux means choosing the number one outdoor advertising company worldwide and seeing new horizons in a team recognized for its momentum, creativity, and sense of innovation. We are dedicated to creating a motivated and diverse workforce. If you’re looking to gain experience in advertising and work in a fast and fun culture, apply now!For more JCDecaux US information, visitThe Role:JCDecaux is currently seeking a Marketing Communications Coordinator, who will report to our Chief Marketing Officer and will be responsible for ideation and creation of new marketing assets as well as updating existing documents using syndicated data, traditional research skills, and advertising knowledge. They will also provide inventory maps for various markets, incorporating requested demographic and geographic information as well as specified POIs.This is a full-time position based in our New York office and will operate in a hybrid work model.Key Responsibilities:Writes and posts ad campaign summaries on website and corporate newsletter.Writes and posts on social media (i.e., Instagram, Twitter, LinkedIn). Assists in the development of marketing collateral as well as new website content.Provides media metrics to help AEs sell street furniture inventory.Uses GIS software to match customer locations with advertising inventory.Updates company databases.Gathers customer and market data.Coordinates requests coming from France and the UK.Fulfills request for marketing collateral and tracks marketing inventory.Liaise with operations and ratings bureau to ensure JCDecaux advertising inventory information is kept up to date.Mentor and supervise interns occasionally. Qualifications & Requirements:Bachelor’s degree desired but not required.Ability to work in fast-paced and demanding environments Proficient in Microsoft Office: Word, Excel & PowerPoint.Sound understanding of marketing principlesStrong writing/copy editing skills a mustExcellent verbal and written communication skills.Good “problem solving” ability within a high-pressure environment. Ability to be proactive and a team player.Strong organizational skills and attention to detail.Benefits:At JCDecaux, we value our employees as whole individuals and offer various benefits to support them. Some of our benefits include:Medical / Dental / VisionHSA / FSAFinancial Health Support401K MatchPet InsuranceCommuter BenefitsWellness IncentivesEmployer Assistance ProgramAdditional Information:Base Salary Range: $51,000-$55,000Disclosed as required by the New York City Pay Transparency Law (11-1-2022)JCDecaux North America is an Equal Opportunity Employer. We value individuality and create an inclusive culture where variety is positively encouraged, and all employees are genuinely appreciated for what makes them unique. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate based on race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.Powered by JazzHR0ygYIITF2z",2023-06-22,https://www.linkedin.com/company/jcdecaux-n.a.?trk=public_jobs_jserp-result_job-search-card-subtitle
Title,Company,Location,Apply,Job Description,Date,Company Link
Marketing Assistant,Los Angeles Philharmonic,"Los Angeles, CA",https://www.linkedin.com/jobs/view/marketing-assistant-at-los-angeles-philharmonic-3643519495?refId=J0m%2BcbQYIKFCNHz%2FAsgnjQ%3D%3D&trackingId=zxIKI9P2LY7wMbyDBSgPbw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job DescriptionThe Los Angeles Philharmonic Association is currently seeking a: Marketing Assistant (Part Time)Founded in 1919, the Los Angeles Philharmonic Association's mission is to perform, present, and promote music in its varied forms at the highest level of excellence to a diverse and large audience, both at the Walt Disney Concert Hall and the Hollywood Bowl. The Los Angeles Philharmonic Association is dedicated to continuing its pre-eminent status in the music world of the 21st century.Position SummaryThe Marketing Assistant supports the Marketing Department in various aspects of driving ticket sales and engaging new and existing customers. The ideal candidate is an extremely well organized, proven team player that works with internal leadership and cross-functional teams to deliver results.Position ElementsManage Senior Vice President’s calendar and administrative needs, assist Senior Marketing Directors in scheduling departmental meetings Answer occasional calls from reception, take messages, and route callsPrepare conference rooms, coordinate AV set-up, and order refreshments for Board meetings, department meetings, social activities, and other meetings as needed Oversee coordination of digital content on screens across venues – the Hollywood Bowl, The Ford, and Walt Disney Concert HallAssist with planning, set-up, and execution of internal and external marketing eventsTake notes for departmental meetings and Board meetingsAssist with invoice processing: coding, routing, and communicating with vendorsCreate expense reports for Senior Vice President and Directors and manage department credit card expense reports and receipts.Give WDCH Security and Reception notice when guests are coming to the office and welcome visitorsAssist with ticket purchases for external partners and internal ticket requests from key media partners and key staff within the marketing teamOrder department suppliesOther duties as assignedJob RequirementsPosition Requirements:A minimum of 2 years marketing experience preferredAn Associate’s or Bachelor’s degree or equivalent experience a plusMust have extensive computer skills including Microsoft Office suiteMust have excellent communication skills, both verbal and writtenMust be a self-starter with the ability to work with teams in a fast-paced, goal-oriented environmentMust multi-task and work within deadlinesSecondary language fluency is a plusRelationshipsReports To: Marketing & Communications CoordinatorInteracts WithAll Marketing & Communications Staff Executive Staff & Executive AssistantsFinance StaffHollywood Bowl & Ford OperationsHollywood Bowl Signage TeamMusic Center StaffBoard MembersOutside Vendors and ContractorsAn Equal Opportunity Employer: It is the Los Angeles Philharmonic Association’s policy to provide equal employment opportunity for all applicants and employees. The Association does not discriminate on the basis of race, color, religion, religious creed (including religious dress and religious grooming), sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, or related medical conditions), sexual orientation, national origin, ancestry, citizenship, age, physical or mental disability, legally protected medical condition or information, genetic information, marital status, gender, gender identity, gender expression, military status, veteran status, or any other basis protected by federal, state, or local law. Consistent with the law, the Association also provides reasonable accommodation for disabled applicants and employees in accordance with the Americans with Disabilities Act (ADA) and the California Fair Employment and Housing Act, for pregnant employees who request an accommodation with the advice of their health care providers, for pregnancy, childbirth or related medical conditions; for employees who are victims of domestic violence, sexual assault or stalking; and for applicants and employees based on their religious beliefs and practices.The Los Angeles Philharmonic Association will consider for employment qualified Applicants with Criminal Histories in a manner consistent with the requirements of the FCIHO.Please note: The Los Angeles Philharmonic Association will consider for employment qualified Applicants with Criminal Histories in a manner consistent with the requirements of the FCIHO.COVID Workplace Safety RequirementsThis position will require you to interact with employees, patrons, vendors, and others who may or may not be vaccinated or recently tested. You will be required to wear personal protection equipment (PPE) required by the LA County Department of Public Health protocols and the LA Phil. You agree to comply at all times with the LA Phil’s COVID-19 Prevention Plan, including testing and vaccination requirements.The Los Angeles Philharmonic Association will consider for employment qualified Applicants with Criminal Histories in a manner consistent with the requirements of the FCIHO.",2023-06-23,https://www.linkedin.com/company/los-angeles-philharmonic?trk=public_jobs_jserp-result_job-search-card-subtitle
"Assistant, Marketing - Black Music",Warner Music Group,"New York, NY",https://www.linkedin.com/jobs/view/assistant-marketing-black-music-at-warner-music-group-3642992656?refId=J0m%2BcbQYIKFCNHz%2FAsgnjQ%3D%3D&trackingId=RxgSMjAUCzAOMuzDmR0X5g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Description:At Warner Music Group, we’re a global collective of music makers and music lovers, tech innovators and inspired entrepreneurs, game-changing creatives and passionate team members. Here, we know that each talent makes our collective bolder and brighter. We are guided by four core principles that underpin everything we do across all our diverse businesses:Music is Everything: Music is our passion, and we can never get enough. Tastes, trends, and tech will change, but great artists and songwriters will always be our driving force.Global Growth, Local Expertise: Music is a global language. Through communication and collaboration, our success can come from anywhere and translate everywhere.Innovation and Insight: Pushing the boundaries requires the best information and the boldest imagination. We use both to create the future.Empowered by People: Like the artists we serve and the music they make, our differences make us stronger. This is a place where every talent can belong and build a career.We remain committed to Diversity, Equity, and Inclusion. We know it fosters a culture where you can truly belong, contribute, and grow. We encourage applications from people of any age, gender identity, sexual orientation, race, religion, ethnicity, disability, veteran status, and any other characteristic or identity.Consider a career at WMG and get the best of both worlds – an innovative global music company that retains the creative spirit of a nimble independent.Job Title: Assistant, Marketing – Black MusicA little bit about our team:The Black Music Marketing Team works cross functionally with all departments in the Atlantic Records ecosystem to successfully product manage artist singles, albums and special projects from inception to completion. By joining our team, you will be responsible for supporting the Vice President & Director of Marketing and their roster, through administrative and creative tasks. In addition to providing support, you will have the opportunity to learn the fundamentals of the music industry and establish industry contacts.Your role:By joining the marketing team, you will be exposed to all aspects of the music business. From participating in brainstorms, to working with third party vendors for artists and department specific campaigns, you will learn the necessary skills to establish yourself as a music industry professional who can thrive in a fast-paced environment.Here you’ll get to:You will manage calendars and daily schedules, in addition to scheduling meetings and calls, as needed.You will assist in the conceptualization and execution of marketing ideas and campaigns.You will liaise with the Vice President & Director of Marketing in the creation of promotional tools; facilitating the manufacturing of products such as posters, stickers, CDs, merch boxes and more.You will assist in coordinating artists events/activations curated by the Vice President & Director of Marketing; from budget building and planning to final execution.You will create and share email blasts to the company with all key information for new releases (singles, album, videos, etc.)You will organize, update, and manage the storage of single and project specific assets received from other departments and third parties.You will attend, participate, and take notes during marketing and staff meetings, for further discussion.You will update artist one-sheets and other key marketing documents.You will submit and manage expense reports and invoices.About you:You have excellent verbal & written communication skills.You are thorough, resourceful, and detail-oriented.You have the ability to prioritize and execute in a time crunch and/or with partial information/details.You have great people skills and the ability to work well in a fast-paced environment.You are highly motivated, task-oriented, organized, and a proactive self-starter.You have strong computer skills – typing, proficiency in Microsoft Office, Photoshop & Mailchimp (or equivalent programs).You have knowledge of different digital service providers, editorial playlisting, social media, and are good with numbers.You have the ability to read and analyze data.You have a pulse on what’s new, trendy, and socially and culturally relevant in Black Music and tech.You have the ability to take constructive feedback and a willingness to adapt, regardless of the circumstances.We’d love it if you also had:A background in music marketing and/or previous administrative experience (internship, support role, freelance corporate setting, etc.)Basic graphic design skills and an eye for aesthetics.A true passion to learn and grow within the music industry.A network of industry creatives.Pride in having a professional demeanor at all times.Knowledge about the current Atlantic roster.About us: As the home to 300 Elektra, Asylum, Atlantic, East West, FFRR, Fueled by Ramen, Nonesuch, Parlophone, Rhino, Roadrunner, Sire, Warner Records, Warner Classics, and several other of the world’s premier recording labels, Warner Music Group champions emerging artists and global superstars alike. And our renowned publishing company, Warner Chappell Music, represents genre-spanning songwriters and producers through a catalogue of more than one million copyrights worldwide. Redefining what it means to be a music company in the 21st century, our consumer brands include trend-setters like UPROXX, Songkick, HipHopDX, and EMP. We’re the home to WMX – the next generation services division that connects artists with fans and amplifies brands in creative, immersive, and engaging ways – and Alternative Distribution Alliance (ADA) – the ground-breaking global distribution company for independent artists and labels.Together, we are Warner Music Group: Music With Vision & Voice.Love this job and want to apply?Click the “Apply” link at the top of the page, or apply directly with your LinkedIn. Applying with LinkedIn will import all of the information you put in your profile, but will still allow you to upload a resume and cover letter.Don’t be discouraged if you don’t hear from us right away. We’re taking our time to review all resumes, and to find the best people for WMG.Thanks for your interest in working for WMG. We love it here, and think you will, too.Salary Range$19.23 to $20.51 HourlySalary ranges are included for job postings where required by law. The actual base pay is dependent upon many factors, such as work experience and business needs. The pay range is subject to change at any time dependent on a variety of internal and external factors.WMG is committed to inclusion and diversity in all aspects of our business. We are proud to be an equal opportunity workplace and will evaluate qualified applicants without regard to race, religious creed, color, age, sex, sexual orientation, gender, gender identity, gender expression, national origin, ancestry, marital status, medical condition as defined by state law (genetic characteristics or cancer), physical or mental disability, military service or veteran status, pregnancy, childbirth and related medical conditions, genetic information or any other characteristic protected by applicable federal, state or local law.Copyright © 2023 Warner Music Inc.Links to relevant documents:2023 Benefits At A Glance.pdfEVerify Participation Poster.pdfRight To Work - English.pdfRight to Work - Spanish.pdf",2023-06-28,https://www.linkedin.com/company/warner-music-group?trk=public_jobs_jserp-result_job-search-card-subtitle
"Associate, Marketing",Grubhub,"New York, NY",https://www.linkedin.com/jobs/view/associate-marketing-at-grubhub-3641148919?refId=J0m%2BcbQYIKFCNHz%2FAsgnjQ%3D%3D&trackingId=T0SZFTN8BTXz0oHW1foW0g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"About The OpportunityWe’re all about connecting hungry diners with our network of over 300,000 restaurants nationwide. Innovative technology, user-friendly platforms and streamlined delivery capabilities set us apart and make us an industry leader in the world of online food ordering. When you join our team, you become part of a community that works together to innovate, solve problems, grow, work hard and have a ton of fun in the process!Why Work For UsGrubhub is a place where authentically fun culture meets innovation and teamwork. We believe in empowering people and opening doors for new opportunities. If you’re looking for a place that values strong relationships, embraces diverse ideas–all while having fun together–Grubhub is the place for you!Location: Chicago or NYCAbout The Opportunity:In this role, you will be responsible for the execution of key CRM marketing and retention campaigns. This role will own in-platform campaign execution (email, push, etc), support driving personalization and retention, as well operate as a technical consultant to our Strategy & Data Analytics team. This role requires prior experience in campaign management/deployment and segmentation, building In-platform customer journeys and triggered programs, and supporting data hygiene in ESPs and Customer Engagement Platforms (e.g. Salesforce Marketing Cloud, Braze, etc) for Email and Push (SMS and In-app messaging would be added bonuses). This is a hybrid role with 2 days in our Chicago or New York office per week.Key Responsibilities:Execute email / push / SMS/ in-app messaging for recurring, triggered and dynamic content-driven campaigns in Braze Regular monitoring of live campaigns- escalating and communicating issues & solutions to leadership for remediationCollaborate with the Strategic & Data Analytics team on technical & creative QA for all campaign launches to ensure flawless execution and deploymentsSuggest & implement operational and workflow improvements to constantly improve the operational production & documentation processesServe as CRM and Campaign Set-up subject matter expert, and demonstrate the ability to apply CRM platform capabilities (i.e. Braze, Movable Ink) to help bring to life life CRM strategy and personalized diner experiencesYou Must Have:2+ years of work experience in email and push notificationsBachelor’s degree requiredHands-on executional experience with Braze (or similar ESPs and/or Consumer Engagement Platforms i.e. Iterable, Braze, Mailchimp, Klaviyo)Self-starter - Proactively identify opportunities and lead solutions day-to-day, take pride in delivering a valuable consumer experienceHTML knowledge and Technical capabilities to QA/troubleshoot and collaborate to ensure successful and valuable data integrations across data science, engineering, product, and marketing teamsAbility to anticipate and understand technical dependenciesExcellent communication, organization, teamwork and follow-up skills with strong attention to detailCurious Mind - always asking “why” and “why not?” Ability to manage multiple projects and stakeholder asksGot these? Even better:Experience with automated/drip/lifecycle campaignsExperience with segmentationUnderstanding of API calls and data within ESPExperience with Contentful Experience with SMSCSS skillsSQL skillsExperience with liquid logicComfortable working in Tableau and Google AnalyticsNYC Salary Range: $78,500 - $102,000The Base Pay component of our Total Rewards package is based on a variety of factors including but not limited to: job responsibilities, location, experience and, education/certifications. In addition to the pay component, this role may be eligible for equity and benefits as part of the Total Rewards package. The Total Rewards package will be determined at the time a contingent offer is made.And Of Course, Perks!Flexible PTO. Grubhub employees enjoy a generous amount of time to recharge.Health and Wellness. Excellent medical, dental and vision benefits, 401k matching, employee network groups and paid parental leave are just a few of our programs to support your overall well-being.Compensation. You'll receive a great compensation package with eligibility for generous incentives, bonuses, commission, or RSUs (role-specific).Free Meals. Our employees get a weekly Grubhub credit to enjoy and support local restaurants.Social Impact. At Grubhub we believe in giving back through programs like the Grubhub Community Fund. Employees are also given paid time off each year to support the causes that are important to them.Grubhub is an equal opportunity employer. We welcome diversity and encourage a workplace that is just as diverse as the customers we serve. We evaluate qualified applicants without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. If you’re applying for a job in the U.S. and need a reasonable accommodation for any part of the employment process, please send an email to TalentAcquisition@grubhub.com and let us know the nature of your request and contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this email address.If you are a resident of the State of California and would like a copy of our CA privacy notice, please email privacy@grubhub.com.",2023-06-21,https://www.linkedin.com/company/grubhub-seamless?trk=public_jobs_jserp-result_job-search-card-subtitle
Digital Marketing Manager,JetZero,"Long Beach, CA",https://www.linkedin.com/jobs/view/digital-marketing-manager-at-jetzero-3643545656?refId=J0m%2BcbQYIKFCNHz%2FAsgnjQ%3D%3D&trackingId=BZh8n1xTJ5VfBuI2xzr8Zw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"What is JetZero?Today’s aircraft contribute around 2.5% of global CO2 emissions, equivalent to the emissions of 200 million cars. This is only going to increase: Air travel is forecasted to double by 2050, while meaningful efficiency gains using current airplanes have hit a wall.JetZero is developing a blended wing aircraft. It uses 50% less fuel and can accommodate zero-emission hydrogen propulsion. JetZero is the inevitable solution to sustainable air travel.The JetZero teamWe are experienced aerospace professionals and engineers, excited about the future. That future will only be possible if we share our vision and what it means to people’s lives: carbon-free flight that's better for both passengers and carriers. The OpportunityJetZero is in growth mode and we need ambitious, self-motivated people. As a Digital marketing Manager you will be responsible for:Web Content Management — You will work with copywriters and designers to implement web content updates that are on-brand, free of errors, SEO optimized, responsive, and accessible. You will continuously edit and update content based on website feedback and analytics to ensure the JetZero message is compelling, up-to-date, and properly targeted to our audience.Outbound Marketing — You will own and execute campaigns, programs, and other outbound digital communications designed to create brand awareness, establish and grow relationships with customers, suppliers and investors.Digital Asset Management — You will audit JetZero's extensive library of digital assets including graphics, images, videos, animations, and develop processes, procedures, and tools to ensure that all digital assets are high quality, well labeled and categorized, accessible to the users who need them, and an accurately represent our products.Content Curation —You will work with JetZero experts from all disciplines to develop blog posts, webinars, videos, conference presentations or other content that promotes JetZero's technical thought leadership to our industry.Budget Management – Once the budget and allocations have been determined, you will own the budget upkeep for MarCom, working with stakeholders to keep track of spend.Reporting – We are growing rapidly. In order for all of us to stay informed and aligned, you will report on the Library, our Website, and any Events you’re working on at company all-hands. Of course, you will be the day-to-day resource for these as well.Bachelors degree in Marketing from an accredited university, and experience with HubSpot, Adobe CS, Google Analytics, Marketo or similar marketing automation software preferred.Who You AreYou are passionate about accelerating the future of aerospace and crave the opportunity to join a team of like-minded individuals. You have energy to meet the challenge ahead and are ready are ready to describe your expertise and the unique value you would bring to the team.The BenefitsCompetitive salariesUnlimited PTO10 paid holidays401(k)Medical, Dental, Life health insuranceDisability InsuranceLife InsuranceEquity tax advisory servicesSupportive work cultureJetZero does not sponsor visas for US positions unless specified. Only applicants with current work authorization will be considered.Salary Range: $80,000 - $130,000Powered by JazzHRTWa91JO3HA",2023-06-23,https://www.linkedin.com/company/jetzero?trk=public_jobs_jserp-result_job-search-card-subtitle
Marketing Communications Coordinator,JCDecaux,"New York, NY",https://www.linkedin.com/jobs/view/marketing-communications-coordinator-at-jcdecaux-3637656061?refId=J0m%2BcbQYIKFCNHz%2FAsgnjQ%3D%3D&trackingId=MZ7birnkWO8hFy5IBjmExQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"About JCDecauxJCDecaux is the #1 outdoor advertising company in the world, we are dedicated to giving brands unique voices and providing messaging platforms through the highest quality out-of-home solutions and first-class services.Joining JCDecaux means choosing the number one outdoor advertising company worldwide and seeing new horizons in a team recognized for its momentum, creativity, and sense of innovation. We are dedicated to creating a motivated and diverse workforce. If you’re looking to gain experience in advertising and work in a fast and fun culture, apply now! For more JCDecaux US information, visit www.jcdecauxna.com.The Role:JCDecaux is currently seeking a Marketing Communications Coordinator, who will report to our Chief Marketing Officer and will be responsible for ideation and creation of new marketing assets as well as updating existing documents using syndicated data, traditional research skills, and advertising knowledge. They will also provide inventory maps for various markets, incorporating requested demographic and geographic information as well as specified POIs.This is a full-time position based in our New York office and will operate in a hybrid work model.Key Responsibilities:Writes and posts ad campaign summaries on website and corporate newsletter.Writes and posts on social media (i.e., Instagram, Twitter, LinkedIn). Assists in the development of marketing collateral as well as new website content.Provides media metrics to help AEs sell street furniture inventory.Uses GIS software to match customer locations with advertising inventory.Updates company databases.Gathers customer and market data.Coordinates requests coming from France and the UK.Fulfills request for marketing collateral and tracks marketing inventory.Liaise with operations and ratings bureau to ensure JCDecaux advertising inventory information is kept up to date.Mentor and supervise interns occasionally. Qualifications & Requirements:Bachelor’s degree desired but not required.Ability to work in fast-paced and demanding environments Proficient in Microsoft Office: Word, Excel & PowerPoint.Sound understanding of marketing principlesStrong writing/copy editing skills a mustExcellent verbal and written communication skills.Good “problem solving” ability within a high-pressure environment.Ability to be proactive and a team player.Strong organizational skillsand attention to detail.Benefits:At JCDecaux, we value our employees as whole individuals and offer various benefits to support them. Some of our benefits include:Medical / Dental / VisionHSA / FSAFinancial Health Support401K MatchPet InsuranceCommuter BenefitsWellness IncentivesEmployer Assistance ProgramAdditional Information:Base Salary Range: $51,000-$55,000Disclosed as required by the New York City Pay Transparency Law (11-1-2022)JCDecaux North America is an Equal Opportunity Employer. We value individuality and create an inclusive culture where variety is positively encouraged, and all employees are genuinely appreciated for what makes them unique. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate based on race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.",2023-06-21,https://fr.linkedin.com/company/jcdecaux?trk=public_jobs_jserp-result_job-search-card-subtitle
Marketing Coordinator - Remote | WFH,Get It Recruit - Marketing,"Arlington, VA",https://www.linkedin.com/jobs/view/marketing-coordinator-remote-wfh-at-get-it-recruit-marketing-3639976444?refId=J0m%2BcbQYIKFCNHz%2FAsgnjQ%3D%3D&trackingId=7LMGAAVsJjDQqdu9qnGlbw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Join our dynamic team at a leading sports and entertainment agency as we revolutionize the industry! We are currently seeking an enthusiastic and ambitious Marketing Coordinator to play a vital role in our company. If you're a recent graduate passionate about sports marketing, this entry-level position is your perfect launchpad to success. Get ready to collaborate with industry experts, make a difference, and be part of an incredible journey.As the Marketing Coordinator, you will work closely with our Vice President of Marketing + Brand Development, contributing to our exciting projects and initiatives. This is a remote position with occasional in-person meetings and client travel, providing you with flexibility and valuable experiences.What We're Looking ForAn undergraduate degree in marketing or a related field.1-3 years of entry-level experience in marketing, corporate partnerships, and community outreach.A strong sports background and a genuine passion for delivering exceptional client services.A collaborative mindset, strategic thinking, creativity, organizational skills, and a problem-solving attitude.Excellent verbal and written communication skills, with a knack for analysis and interpersonal interactions.Proficiency in Word, PowerPoint, and Excel. Familiarity with Photoshop and InDesign is a plus.Your Responsibilities Will IncludeActivating client services on a day-to-day basis, focusing on non-NBA clients while supporting NBA clients.Researching and engaging with NIL-focused companies, building a comprehensive database, and attracting new clients and recruits.Coordinating athlete appearances, charitable programs, and community initiatives.Assisting with endorsement obligations and tracking marketing activations.Managing client basketball camps, including handling deliverables from shoe company programs.Identifying and securing revenue-driving corporate partnerships for our clients.Supporting new client pitches and actively seeking new business opportunities.Creating compelling client brand information for partnership development, such as sell-in sheets, pitch decks, and presentations.Conducting research to uncover potential opportunities and developing persuasive pitches.Following up and tracking outreach efforts effectively.Crafting proactive marketing pitches and innovative strategies to achieve our clients' objectives.Updating Contract Expiration Reports to ensure accurate contract management.Drafting community activation proposals for clients, delivering at least one turnkey activation per non-NBA client per season.At our company, we value diversity and provide equal opportunities to all applicants. We embrace individuals from various backgrounds, regardless of race, color, religion, national origin, sex, sexual orientation, age, disability, gender identity, marital or veteran status, or any other protected class.Are you ready to embark on an exciting career journey with us? Apply now and become an integral part of our thriving team!Employment Type: Full-TimeSalary: $ 49,000.00 62,000.00 Per Year",2023-06-24,https://www.linkedin.com/company/get-it-recruit-marketing?trk=public_jobs_jserp-result_job-search-card-subtitle
Title,Company,Location,Apply,Job Description,Date,Company Link
Marketing Communications Coordinator,"JCDecaux North America, Inc.","New York, NY",https://www.linkedin.com/jobs/view/marketing-communications-coordinator-at-jcdecaux-north-america-inc-3642998161?refId=isXyJPCXTCnygMo2pzo7ig%3D%3D&trackingId=e4%2By4f03MGDVLD5zH7kLFg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"About JCDecauxJCDecaux is the #1 outdoor advertising company in the world, we are dedicated to giving brands unique voices and providing messaging platforms through the highest quality out-of-home solutions and first-class services.Joining JCDecaux means choosing the number one outdoor advertising company worldwide and seeing new horizons in a team recognized for its momentum, creativity, and sense of innovation. We are dedicated to creating a motivated and diverse workforce. If you’re looking to gain experience in advertising and work in a fast and fun culture, apply now!For more JCDecaux US information, visitThe Role:JCDecaux is currently seeking a Marketing Communications Coordinator, who will report to our Chief Marketing Officer and will be responsible for ideation and creation of new marketing assets as well as updating existing documents using syndicated data, traditional research skills, and advertising knowledge. They will also provide inventory maps for various markets, incorporating requested demographic and geographic information as well as specified POIs.This is a full-time position based in our New York office and will operate in a hybrid work model.Key Responsibilities:Writes and posts ad campaign summaries on website and corporate newsletter.Writes and posts on social media (i.e., Instagram, Twitter, LinkedIn). Assists in the development of marketing collateral as well as new website content.Provides media metrics to help AEs sell street furniture inventory.Uses GIS software to match customer locations with advertising inventory.Updates company databases.Gathers customer and market data.Coordinates requests coming from France and the UK.Fulfills request for marketing collateral and tracks marketing inventory.Liaise with operations and ratings bureau to ensure JCDecaux advertising inventory information is kept up to date.Mentor and supervise interns occasionally. Qualifications & Requirements:Bachelor’s degree desired but not required.Ability to work in fast-paced and demanding environments Proficient in Microsoft Office: Word, Excel & PowerPoint.Sound understanding of marketing principlesStrong writing/copy editing skills a mustExcellent verbal and written communication skills.Good “problem solving” ability within a high-pressure environment. Ability to be proactive and a team player.Strong organizational skills and attention to detail.Benefits:At JCDecaux, we value our employees as whole individuals and offer various benefits to support them. Some of our benefits include:Medical / Dental / VisionHSA / FSAFinancial Health Support401K MatchPet InsuranceCommuter BenefitsWellness IncentivesEmployer Assistance ProgramAdditional Information:Base Salary Range: $51,000-$55,000Disclosed as required by the New York City Pay Transparency Law (11-1-2022)JCDecaux North America is an Equal Opportunity Employer. We value individuality and create an inclusive culture where variety is positively encouraged, and all employees are genuinely appreciated for what makes them unique. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate based on race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.Powered by JazzHR0ygYIITF2z",2023-06-22,https://www.linkedin.com/company/jcdecaux-n.a.?trk=public_jobs_jserp-result_job-search-card-subtitle
