JobId,Title,Company,Location,Apply,JobDescription,Date,Skills,Salary,CompanyLink
3647366031,"Marketing Associate",WizeHire,"Burlington, MA",https://www.linkedin.com/jobs/view/marketing-associate-at-wizehire-3647366031?refId=umS%2BzHGXwCYE%2F%2BGjB7zKzw%3D%3D&trackingId=4nlXZecUUUTpH%2F0zgkh96w%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,"WizeHire is an award-winning platform that helps small businesses grow with a better way to hire. We are currently assisting a local customer source top talent to fill their Marketing Associate position in Burlington, MA, USWe’re looking for a Brand Ambassador to join our tight-knit team of professionals in their efforts to build the best brands. As the driving force behind generating new sales leads and contacts, a successful Ambassador is a highly-prized asset to any company, and bonus-related pay means the financial rewards of this career can be great.Is this job Work from home?NOYour job as an Ambassador is to identify sales leads, meet face-to-face with company owners and C-level executives to discuss products, services, and solutions on behalf of clients and maintain a good working relationship with new contacts.Employee Perks…. Positive, energetic team atmosphereWork/life balancePerformance-based career advancement opportunitiesContinuous industry educationProfessional & personal growthHands-on trainingEntrepreneurial business developmentLeadership developmentBusiness management trainingCharity and community involvementGlobal and domestic travel opportunities
Please note: * Must have reliable transportation and the ability to commute to Burlington and work the set schedule. We do not offer remote positions. Must be authorized to work in the U.S. This is full-time, not seasonal, and not an internship role. If you feel like you would be a great addition, we encourage you to apply today!

Desired Skills and Experience
Qualifications
Must possess excellent project management skills, communication skills, and a strong work ethicExperience with social media platforms, CRM, CSM, and public relations 4-year degree in Marketing, Journalism, Business, or related field required2 or more years of experience in an ad agency environment or related environmentCandidate should have their finger on the pulse of the current marketing landscape
Responsibilities
This role revolves around good communication and so whatever business you work in your duties are likely to include:Following up on new business opportunities and setting up meetingsCommunicating new product developments to prospective clientsOverseeing the development of marketing literatureWriting reportsProviding management with feedbackManage marketing/sales for client accountsImplementing ideas to marketing campaign clientSales and marketing presentations of new products and services for clientsNew customer acquisitionRetention of clients through relationship buildingTerritory managementTeam building and mentoringManagement training, coaching, and developmentCRM system trainingPlanning and preparing presentations (say hello to PowerPoint) This is no job for shyness; you’ll need to be confident, love networking, and enjoy presenting and public speaking. It also helps if you have: Good business senseA deep understanding of marketing principlesGood communication skillsA positive attitudeNegotiation skillsPlenty of initiativeCustomer Service experienceExperience as a top-performing cold callerBasic experience and comfort level with financial services conceptsPersuasivePersonableNot afraid of rejectionStrong core values, a principled person
WizeHire is an award-winning platform that helps small businesses grow with a better way to hire. We are currently assisting a local customer source top talent to fill their Marketing Associate position in Burlington, MA, US",2023-07-03," ",,https://www.linkedin.com/company/wizehire?trk=public_jobs_jserp-result_job-search-card-subtitle
3649659923,"Marketing Communications Coordinator","Global Marketing","Winter Park, FL",https://www.linkedin.com/jobs/view/marketing-communications-coordinator-at-global-marketing-3649659923?refId=0FaIArG8mbGDP%2BfNxIa1nw%3D%3D&trackingId=rI9xWLl%2FHHrS5RJB5ovkHg%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card,"The Marketing Communications Coordinator needs to be a team player, comfortable in an ever-changing environment, quick on their feet, adaptable, and able to work well under pressure.Marketing Communications Coordinator Key Accountabilities:• Conduct all intakes, assessments, eligibility, and Individual Work Plans for the Program• Assists individuals in the completion of assessments• Provide a high level of customer service• Develop relationships with employers in the area• Mediate issues that may arise in the workforce involving clients and employers• Conduct weekly orientations and job readiness class for incoming clients or those who areinterested in getting more information• Assist clients with resumes and navigating online applications• Provide other day-to- day support to clients as needed• Enter all data on time and correctly to support program evaluation and deliverable tracking• Ensure proper and timely documentation of services including case notes• Work collaboratively with colleagues across the organization and within respective departments• Other duties as assignedMarketing Communications Coordinator Skills:• Quick learners capable of practical application• Target focused and competitive with a desire to win• Able to make decisions and think under pressure• Ability to work independently and responsibly• Outstanding verbal, written, and communication skills• Highly motivated, energetic, and self-starter• Customer service awareness, and self-motivation• Consistently exceeding goals• Basic computer knowledge of Microsoft applications• High level of personal accountability for the quality and impact of work• Professional demeanor, and strong organizational skills• Outgoing personalityRequirements:⦁ Commute to the Office in Orlando, FLJust hit the apply button today for early consideration!WEBSITE: mktg-global.com",2023-07-16," ","$40,000/yr - $50,000/yr",https://www.linkedin.com/company/mktg-global?trk=public_jobs_jserp-result_job-search-card-subtitle
3649662369,"Marketing Communications Coordinator","Pivot Marketing","Coral Gables, FL",https://www.linkedin.com/jobs/view/marketing-communications-coordinator-at-pivot-marketing-3649662369?refId=SORdIzlitZPXsVlaKYm7lA%3D%3D&trackingId=R1czpN%2Bu9u%2FYZchvHO2zCQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,"Pivot Marketing is a Miami-based startup and the fastest-growing marketing firm in Florida. We focus on marketing campaigns for our clients, and we represent our brands in the most exciting way possible to increase their revenue.At Pivot Marketing, more than a career, you will have the opportunity of a lifetime to make an impact on a daily basis and make a difference in the world.We are excited to meet candidates that are driven, optimistic, and determined, so we can provide you with the opportunity to grow personally and professionally while making an impact on millions of lives.We are looking for a head of marketing who can help grow Pivot's brand while implementing and executing new strategies to acquire new customers in the most populated cities in USA. This person must be highly analytical, a self-motivated, results-oriented and able to thrive in an entrepreneurial fast-paced environment.We are looking for fearless professionals that can help us scale our business model!If you believe that’s YOU…- We will give you the trust and support to grow, develop, and make a difference in the world- Collaborative work and learn from each other- Lead the execution of the marketing plans and track performance- Understand the local market/culture and define the right target audience- Define promotional, pricing, and point of sale strategy- Manage the cluster marketing budgetSo what we ask for is…- An empathetic person with an unbreakable attitude- A passionate person with a purpose to make a positive impact on the life of millions of people through your message- Logical profile and comfortable dealing with fast pace and complex business challenges- Proven track record of delivering business growth- Strong consumer understanding skills- Comfortable tracking and reporting on established performance marketing KPIsWe are always looking for the best candidates, so if you believe you are a good fit we would love to hear from you!Pivot Marketing's Benefits- Travel opportunities- Networking & seminars with successful entrepreneurs- Supporting system- Flexible schedule- Good vibes only- 1-1 CoachingWebsite: www.pivot-mktg.comInstagram: pivot_mktg",2023-07-16,"Coaching, Communication, Employee Benefits, Marketing, Marketing Budget Management, Marketing Communications, Passionate about Work, Performance Marketing, Pivot Tables, Product Marketing","$42,000/yr - $50,000/yr",https://www.linkedin.com/company/pivotmktg?trk=public_jobs_jserp-result_job-search-card-subtitle
3649671407,"Marketing Manager",Sko,"Winter Park, FL",https://www.linkedin.com/jobs/view/marketing-manager-at-sko-3649671407?refId=SORdIzlitZPXsVlaKYm7lA%3D%3D&trackingId=0H9Y5dUDgG1Wxk%2BIJMZQWg%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,"We are a dynamic group of young minded professionals with ambitious goals. All together we are a marketing and advertising firm that specializes in Non-profit organizations, and value our clients. Very similar to a sports minded athlete, we are competitive to drive each other, our values are leadership, integrity, teamwork, discipline, and winning mentality.Our opportunity is a hands-on training program for all people and backgrounds. Moving further than a simple marketing company, we work with well-known Nonprofit Organizations from all over the world. We focus on increasing intellectual business and communication skills. We are a young and ambitious group with an entrepreneurial spirit and a strong team attitude.Our company is a collective of fun, motivated, and creative groups of people who are looking to help all people create their own opportunity and help Nonprofit organizations reach their goals. This is a fast-paces, hands-on opportunity to flex your skills and learning ability. If you are looking to oversee the development of goals, strategies, and implementation plans to execute comprehensive marketing campaigns, you have found it!As an entry level, you will help us represent our clients at events and provide excellent service to continually create innovative solutions to expand their brand! You will help work in a team environment to represent the Non-Profits and implement a direct, face to face approach.Job Responsibilities: · Energy and enthusiasm to daily team training· Expand on client’s brand awareness, brand exposure, and revenue· Set ambitious personal and team goals and achieve them
 Requirements:· Ambitious to learn· Competitive· Goal oriented· Team player· Hungry to grow
Website: skomarketing.co",2023-07-16,"Brand Awareness, Communication, Defining Requirements, Events, Implementation Plans, Marketing, Performance Motivation, Skill Development, Team Training, Teamwork","$39,000/yr - $49,000/yr",https://www.linkedin.com/company/skomarketing?trk=public_jobs_jserp-result_job-search-card-subtitle
3649674102,"Marketing Coordinator","Ultimate Staffing","Orlando, FL",https://www.linkedin.com/jobs/view/marketing-coordinator-at-ultimate-staffing-3649674102?refId=j4gigZksfQWh6bcvv2WhaA%3D%3D&trackingId=W%2FhoysYqHEmELHhzLI1urQ%3D%3D&position=14&pageNum=19&trk=public_jobs_jserp-result_search-card,"Job DescriptionJob Summary:Marketing / Trade Show Coordinator to oversee the company's trade show presence and support various marketing initiatives such as targeted emails, creation of marketing collateral and ads, social media management, graphic design, and content marketing. The ideal candidate is a self-starter with the ability to work independently with moderate direction and effectively across other functions of the company. Applicants should be organized, resourceful, detail oriented and comfortable managing multiple projects simultaneously.Essential Job Functions And Responsibilities Include The Following  Support the research, planning and coordination for 20+ domestic and international trade shows annually Create, proofread, and edit copy for various marketing collateral including sales flyers, brochures, and catalogs Design, edit, and deliver print & digital assets including, but not limited to, sales flyers, catalogs, product brochures, social media imagery, website imagery, paid media campaign visuals, product mockups, etc. Develop, create and post engaging marketing campaign content on social media platforms (Facebook, LinkedIn, Twitter, etc.) and Google Display Network to increase brand visibility and website & social media traffic Assist with updates to company website, including new product additions, information, etc.
Knowledge & Skills  Energetic self-starter with strong organizational skills and the ability to prioritize and complete simultaneous projects with minimal supervision Graphic design experience with a demonstrated ability in the creative development of marketing collateral Persistence, willingness, and aptitude to learn our products and market Superior verbal, written, and face-to-face communication skills
Qualifications  Bachelor's degree in Marketing, Business Administration, or related field Minimum of 2 years of Marketing experience required Strong MS Office Skills required (Word, Excel, PowerPoint, and Outlook) Strong knowledge of Adobe Creative Suite required (Photoshop, InDesign, and Illustrator) Video editing experience with Adobe Premier preferred, but not required Photography experience preferred, but not required Outstanding copywriting and proofreading skills required
We are an equal opportunity employer and make hiring decisions based on merit. Recruitment, hiring, training, and job assignments are made without regard to race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, or any other protected classification. We consider all qualified applicants, including those with criminal histories, in a manner consistent with state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.To apply please email your resume to ballen@ultimatestaffing.com",2023-07-05," ",,https://www.linkedin.com/company/ultimate-staffing?trk=public_jobs_jserp-result_job-search-card-subtitle
3649674191,"Event Marketing Manager",Sko,"Winter Park, FL",https://www.linkedin.com/jobs/view/event-marketing-manager-at-sko-3649674191?refId=umS%2BzHGXwCYE%2F%2BGjB7zKzw%3D%3D&trackingId=HPOIFHorUf271rSC67hzkA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,"Based in the heart of Orlando, we works alongside Non-Profit clients, creating brand awareness, generating long term donor applications, attracting new donors, engaging new clients whilst sustaining current ones. We market on behalf of our clients as they entrust us, all throughout our site’s events across Orlando, ensuring brand awareness, exposure, and revenue. You will get to travel to new locations all over.This is a fast-paces, hands-on opportunity to flex your skills and learning ability. If you are looking to oversee the development of goals, strategies, and implementation plans to execute comprehensive marketing campaigns, you have found it!As an entry level, you will help us represent our clients at events and provide excellent service to continually create innovative solutions to expand their brand! You will help work in a team environment to represent the Non-Profits and implement a direct, face to face approach.Job Responsibilities: · Energy and enthusiasm to daily team training· Expand on client’s brand awareness, brand exposure, and revenue· Set ambitious personal and team goals and achieve them
Requirements: · Ambitious to learn· Competitive· Goal oriented· Team player· Hungry to grow· Positive",2023-07-16,"Brand Awareness, Campaigns, Event Marketing, Events, Implementation Plans, Marketing, Marketing Campaigns, Skill Development, Team Training, Workable Solutions","$40,000/yr - $50,000/yr",https://www.linkedin.com/company/skomarketing?trk=public_jobs_jserp-result_job-search-card-subtitle
3650015867,"Marketing Specialist",iOBX,"Charlotte, NC",https://www.linkedin.com/jobs/view/marketing-specialist-at-iobx-3650015867?refId=eYenvacoRm21mjf%2Frrnm1g%3D%3D&trackingId=o2kjnvCq6d463%2BKcT7DZyg%3D%3D&position=4&pageNum=8&trk=public_jobs_jserp-result_search-card,"**This is an ONSITE only position** About usiOBX is a Premier Stem Cell and Bio-Restorative Orthopedic, Sports Medicine and Spine Care Center, located in Charlotte. NC. We make it a point to stay ahead of the curve, utilizing cutting-edge technology in our state-of-the-art facility.PPC and Marketing Specialist Job DescriptionOur Center is currently seeking a PPC (Pay Per Click) and Marketing Specialist to plan and run our PPC campaigns. You will be also required to track and manage our paid search budgets. As a PPC (Pay Per Click) and Marketing Specialist, you will be responsible to do search engine marketing (SEM) including search engine optimization (SEO) for our clients. For this position, you should be extremely good with numbers and have great analytical skills. Your main objective should be to ensure that our PPC ads and promotion endeavors have the most astounding return on investment (ROI.)ResponsibilitiesAs a PPC & Marketing Specialist, you'll work and will be involved in: Creating and planning a variety of PPC campaigns across a range of digital channelsOverseeing existing campaigns and making recommendations on how to optimize themAnalyze trends and making data-driven decisionsWriting engaging copy for advertisingProofreadingMaking creative suggestions for advertising templatesMarketing strategiesRelationship building and business developmentProducing detailed analysis and reports of campaignsPresenting data and reportsPlan budget and monitor bids to increase better ROI.Stay up to date with PPC (Pay per click) advertising and SEM (Search Engine Marketing) trends.Discover approaches and ways to decrease the risk of click fraud.Track KPIs to evaluate performance and pinpoint issues.Deliver reports for administration and management.Manage ad accounts on multiple platforms like Google Ads, Bing, etc.
Skills Excellent understanding of how PPC fits in to the wider area of digital marketingKnowledge of Microsoft Excel and data manipulationExcellent ability to think creativelyExcellent attention to detailStrategic thinking and development of innovative marketing strategiesCreative writing skillsAbility to present information quickly, effectively, and efficientlyStrong relationship-building skillsExcellent communication skillsSuperior experience using tools such as Google AdWords.Understanding of HTML and XML will be an added benefit.Ability to work under pressure and prioritize tasks.Outstanding analytical, interpersonal and organizational skills.Excellent problem solving and networking skills.Strong work ethics.
Education & Experience BA/BS degree in Marketing, Digital Media or a related field.Proven 5+ years of experience as a PPC Manager or Marketing Specialist. (required)Professional certification in Google Ads will be preferred.Exceptional knowledge of SEO and advanced digital marketing skills.Outstanding knowledge of analytics tools, e.g. Google Analytics, Tableau, WebTrends, etc.
Job Types: Full-time & ONSITE only, no hybrid option. Benefits: Flexible scheduleHealth insuranceLife insurancePaid time offVision insurance
#hiring #marketing #sem #seo #ppc #googleads",2023-07-05," ",,https://www.linkedin.com/company/iorthobiologix?trk=public_jobs_jserp-result_job-search-card-subtitle
3650018242,"Sales And Marketing Representative","Hedgefog Research Inc.","Los Angeles, CA",https://www.linkedin.com/jobs/view/sales-and-marketing-representative-at-hedgefog-research-inc-3650018242?refId=XHEVFr48tasdRPF820SOdA%3D%3D&trackingId=v1Ay3vq5h2%2BrcYzoaaF%2FQw%3D%3D&position=15&pageNum=26&trk=public_jobs_jserp-result_search-card,"Sales and Marketing Representative – Medical devicesAbout the companyHedgefog Research Inc. (HFR) is a fast-growing R&D/Manufacturing company located in the Los Angeles Metropolitan area (San Pedro, CA) with a focus on development of unique medical devices and software products for eyecare. Now, after concluding several years of R&D on an innovative product line and establishing a “Made in the USA” manufacturing capability, we are turning our attention to the next page of the company’s story. HFR is looking for a talented and passionate leader, who will promote the company’s growth by shaping and implementing a robust marketing and sales strategy. Key responsibilities -         Develop a deep understanding of the company products and the competing product landscape -         Generate leads, deliver sales pitches, and close sales deals-         Perform customer training -         Generate engagement with existing and future customers -         Identify and develop government leads and opportunities-         Manage a monthly product newsletter-         Engage eyecare providers by organizing and promoting regular webinars-         Represent company products at conferences and trade shows-         Build a stellar KOL team-         Work with the Management to plan, set, and meet sales goalsRequirements-         Bachelor’s degree in a discipline related to life sciences or business development preferred. A combination of professional certification combined with extensive ophthalmic experience may be considered in lieu of a degree.-         3+ years of healthcare sales experience (eye health industry preferred) is required, along with a documented track record of success (attainment of goals, awards, formal recognition) in those roles-         Excellent organizational and time management skills-         Ability to communicate effectively in both verbal and written form-         Mastery of Microsoft Office suite of products including Word, PowerPoint, and Excel.-         Ability to plan and organize webinars using Zoom and/or Microsoft Teams. -         Candidates should be physically able to perform all job duties which necessitates: driving in a geographically large territory for long periods of time each work day; lifting product shipping boxes; frequent travel by airplane and car, usually within the US (but, occasionally, international); remaining in standing position for prolonged periods of time when giving presentations or hosting business events; and performing other job-related duties and responsibilities as may be assigned from time to time.-         Valid driver’s license along with a clean driving record. What we offerThis position provides a unique opportunity to participate in developing and growing our company’s emerging sales and marketing strategy. The new Sales and Marketing Representative will join a small, tightly knit team of engineers and scientists and will be expected to function well in a rapidly growing manufacturing company with heavy R&D emphasis. At HFR, we pride ourselves on offering our team members a work environment that is highly professional, informal, and fun at the same time. The new employee will discover an intellectually stimulating job that offers daily challenges and enables the individual to seek and find solutions while avoiding excessive bureaucracy overhead of larger corporations. As part of the job package, we also offer:-         Sales commission (negotiable)-         Retirement plan with employer matching-         Paid Personal Time Off-         Paid holidays-         Flexible medical benefits (i.e., you pick your insurance, we pay for it)-         Travel reimbursement-         Work from home/Telework opportunityThe range of starting annual base pay before commission for this role is $55,000 to $85,000. Sales commission is negotiable.",2023-07-05," ","$55,000/yr - $85,000/yr (from job description)",https://www.linkedin.com/company/hedgefog-research-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
3650032886,"Marketing Coordinator","Radian Research, Inc.","Lafayette, Indiana Metropolitan Area",https://www.linkedin.com/jobs/view/marketing-coordinator-at-radian-research-inc-3650032886?refId=39JcO2g3wGfKx32z0gN6hQ%3D%3D&trackingId=YoWfP1xljA7R%2FeoKHjwqCQ%3D%3D&position=6&pageNum=12&trk=public_jobs_jserp-result_search-card,"Marketing CoordinatorRADIAN RESEARCH, INC.  Join a world leader in energy measurement and start your ownership journey today! Radian Research is a 100% employee-owned innovative technology company with an engaging and participative work environment. We provide Electric Meter Testing Instruments, Systems, Software and Services to Electric Utility Companies, Electric Meter Manufacturers and National Metrology Institutes for Engineering, Laboratory, Shop and Site applications. Radian provides both portable and primary energy reference standards unequaled in accuracy, stability, and reliability. The focus of Radian is our customer, and the heart of Radian is our team.  Position OverviewLeads marketing and cross functional teams to plan, coordinate and execute marketing strategies, campaigns and events to promote the RADIAN Brand and Offering. Reports to the Director of Marketing and is based at RADIAN headquarters in Lafayette, IN. Remote candidates will be considered depending on the suitability and strength of their other qualifications.  Key Responsibilities Event Planning and Execution·      Plan, coordinate, and execute marketing events, including trade shows, conferences, and promotional campaigns.·      Manage event logistics, including event registration, venue selection for RADIAN events,vendor management, budgeting, and scheduling.·      Coordinate with internal teams and external partners to ensure successful event execution.·      Monitor event success metrics, collect feedback, and make recommendations for futureimprovements. Website Management·      Continuously refine and update the company website to reflect RADIAN’s branding,product information, and marketing campaigns.·      Collaborate with the web designer to implement website enhancements and optimizethe user experience.·      Monitor website analytics and report metrics to establish a cadence for siteoptimization. Strategic Marketing Campaigns·      Develop and execute strategic marketing campaigns to target specific audiences andachieve business objectives.·      Work closely with content creators to craft compelling marketing messages and ensureconsistency across various channels, including print, display, website, and social media.·      Monitor campaign performance, analyze metrics, and make data-driven suggestions toleverage the website. Sales Team Enablement and Support·      Provide sales teams with effective, branded, and consistent marketing tools, collateral,and support materials to support their sales efforts.·      Collaborate with sales leaders to develop sales enablement resources, includingpresentations, product guides, and competitive analyses.·      Conduct training sessions to educate sales teams on new marketing initiatives andensure alignment with brand messaging. Content Creation and Dissemination·      Create clear, concise, and engaging marketing content for all communication platforms.·      Expand and improve visual marketing content, including images, videos, andinfographics.·      Leverage social media, email marketing, and other channels to communicate marketingmessages and engage with the target audiences. Social Media Strategy·      Develop and implement a comprehensive social media strategy that will enhance RADIAN’s online presence and engage with current and potential customers.·      Analyze social media metrics and adjust strategies accordingly. Team Leadership and Collaboration·      Inspire and lead the marketing team and key supporting teams to execute marketingplans successfully.·      Foster a collaborative environment and maintain strong relationships withcross-functional teams.·      Demonstrate energy, enthusiasm, and drive to motivate team members and achievemutual success. Teammate Engagement·      Build rapport with all RADIAN teammates, fostering cooperation and collaboration tosuccessfully execute projects effectively.·      Inspire loyalty and demonstrate respect to promote a positive and inclusive workenvironment. EDUCATION·      Four Year Bachelor of Science or Art Degree·      Professional Certifications applicable to Marketing     EXPERIENCE ·      Minimum of THREE, ideally FIVE or more years working in marketing capacities·      Electric Utility Industry Focus preferred ·      Manufacturing organization background preferred  DESIRED Expertise·      PROVEN Brand Marketing Acumen ·      Effective Market and Customer Facing Copywriting and Editing·      Event planning and coordination·      Leading cross-functional teams·      Creating and executing marketing plans·      Managing the production and publication of marketing-related content, including website development, print collateral, newsletters, and email campaigns·      Managing all aspects of professional photo and video creation including planning, production and deployment ·      Establishing processes and procedures for copywriting, design, and social media content to exhibit cohesive brand messaging·      Facilitation of Sales Enablement Activities that INSPIRE Sales Engagement ·      Website and Digital Marketing Tools, Techniques and Strategies·      Competitive Analysis from a Marketing Perspective  ESSENTIAL Skills and Attributes: ·      Precise, concise and effective verbal and written communication·      Building strong relationships and rapport with ALL Teammates ·      Strong ORGANIZATION and ATTENTION to DETAIL·      Positive Energy, Optimism and Enthusiasm ·      Integrity, Candor, Respect and Loyalty·      Gratitude and Appreciation – towards TEAM and CUSTOMERS·       Excellence – DESIRE to be the BEST you can be!!·       BE Genuine, Sincere and Humble·       Competitive HUNGER – DESIRE to be the LEADER in our designated market!   Equal Opportunity Employer Minorities/Women/Veterans/Disabled  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, or protected veteran status and will not be discriminated against on the basis of disability.",2023-07-05," ",,https://www.linkedin.com/company/radianresearch?trk=public_jobs_jserp-result_job-search-card-subtitle
3650038089,"Marketing, Sales, and Event Coordinator","Agora Management Solutions","Seattle, WA",https://www.linkedin.com/jobs/view/marketing-sales-and-event-coordinator-at-agora-management-solutions-3650038089?refId=9AnWdvPhVq%2F7lME2ILLZNA%3D%3D&trackingId=te0uG9zJFyxoT%2BlH8R%2FFFw%3D%3D&position=6&pageNum=24&trk=public_jobs_jserp-result_search-card,"Agora Management Solutions is looking for a Sales Marketing Event Coordinator who will be responsible for the promotions linked to our client, their products, and services. Coordinators assist with any new customer acquisition and brand promotions associated with client accounts while interacting with new and potential consumers.Our success relies on our promote-from-within culture. All of our managers have also completed the program and are therefore able to understand everything from the entry-level up. This program is designed to prepare you for your ideal career in sales, business development, and customer service.Responsibilities: Strengthen our relationship with clients and company partnershipLearn and market your campaigns honestly and effectivelyWork with other members of our team on linked campaigns to ensure companywide successInteract with other members of our organization regularly to ensure personal and professional growthGenerate new sales
Benefits of working with us: Career advancement opportunitiesNationwide travel opportunitiesWeekly team nightsPaid training
This is a valuable opportunity for those who have experience in hospitality, team leadership, management, sales, entrepreneurship, and anybody with a competitive mindset.",2023-07-05," ","$45,000/yr - $55,000/yr",https://www.linkedin.com/company/agora-management-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle
