skill_id,skill_name,skill_group,appearance_in_description,appearance_in_skill
1,Coaching,Communication,38,3
2,Communication,Communication,630,147
4,Marketing,Strategy/Planning/Management,682,168
5,Marketing Budget Management,Strategy/Planning/Management,0,3
6,Marketing Communications,Communication,50,21
8,Performance Marketing,Social Media/Digital,5,1
9,Pivot Tables,Quantitative/Analytics,3,2
10,Product Marketing,Content,35,13
11,Brand Awareness,Brand,83,14
13,Defining Requirements,Quantitative/Analytics,0,1
14,Events,Strategy/Planning/Management,328,10
15,Implementation Plans,Strategy/Planning/Management,2,2
19,Team Training,Communication,2,2
20,Teamwork,Communication,43,20
22,Campaigns,Strategy/Planning/Management,335,67
23,Event Marketing,Strategy/Planning/Management,18,6
27,Marketing Campaigns,Strategy/Planning/Management,182,54
30,Workable Solutions,Quantitative/Analytics,0,1
32,Community Outreach,Communication,12,2
33,Demos,Strategy/Planning/Management,11,1
35,Guest Services,Sales,4,1
36,Hosting Events,Strategy/Planning/Management,2,1
38,Presentation Skills,Sales,39,8
39,Retail Sales,Sales,16,3
40,Sales,Sales,439,54
44,Networking,Communication,40,3
46,Public Speaking,Communication,17,3
47,Relationship Building,Sales,17,12
48,Sales and Marketing,Sales,75,27
49,Social Media,Social Media/Digital,260,53
50,Sports,Other,30,2
51,Ad Serving,Content,3,11
52,Digital Channels,Social Media/Digital,21,2
53,Digital Engagement,Social Media/Digital,6,1
54,Digital Marketing,Social Media/Digital,152,62
55,Interpersonal Communication,Communication,14,8
58,Multi-Channel Marketing,Strategy/Planning/Management,1,1
59,Omni-Channel Marketing,Strategy/Planning/Management,6,2
60,Strategic Communications,Communication,0,10
61,Bulk SMS,Sales,0,1
62,Consumer Packaged Goods (CPG),Brand,2,1
63,Google Ads,Social Media/Digital,16,6
64,Mobile Marketing,Social Media/Digital,1,1
65,Paid Media Advertising,Social Media/Digital,0,3
66,Paid Media Strategy,Strategy/Planning/Management,0,1
67,Paid Social Media Advertising,Social Media/Digital,1,2
68,Search Engine Marketing (SEM),Social Media/Digital,2,3
69,Search Engine Optimization (SEO),Quantitative/Analytics,6,19
